id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14571387,CHARMING DUPLEX IN THE NICEST AREA OF BRUSSELS,3551365,Alberto,,Ixelles,50.83695,4.36696,Entire home/apt,76,5,19,2022-04-15,0.45,1,47,7,
14598881,Cozy and green apartment in the centre of Brussels,62258495,Baptist,,Saint-Josse-ten-Noode,50.85582,4.35719,Private room,30,1,1,2022-01-08,0.19,1,0,1,
15954535,"Très bel appartement à Etterbeek, à 15mn du centre",20174303,Quentin,,Etterbeek,50.83049,4.40099,Entire home/apt,50,200,1,2016-12-29,0.02,4,365,0,
15959473,"La Damoiselle, private room (lady first)",76546954,O.,,Forest,50.82153,4.34163,Private room,30,2,147,2022-06-10,2.40,5,295,13,
15961946,2 rooms with gardens in trendy area _ R2/R3,3971483,Tim & Ben,,Bruxelles,50.85377,4.34496,Private room,300,2,2,2019-11-15,0.05,7,352,0,
15986898,Luxury spacious loft near city center,2528625,Femi,,Anderlecht,50.84155,4.33696,Entire home/apt,81,30,21,2022-05-31,0.31,1,340,7,
15993825,180m2 elegant 3 bedrooms appartment with parking,96686128,Naji,,Uccle,50.79631,4.39409,Entire home/apt,111,14,114,2021-11-28,1.71,1,228,7,
16001998,Silence et confort à Saint-Gilles. (Louise.).,22224936,Renaud,,Saint-Gilles,50.83138,4.35237,Entire home/apt,107,2,107,2022-06-03,1.59,3,163,28,
14610447,Sunny beautiful house with terraces and garden,17108777,Elke,,Forest,50.80631,4.31842,Entire home/apt,90,4,11,2019-10-30,0.20,1,102,0,
14613315,Fully Equiped Flat in Brussels,86578301,Jonathan,,Woluwe-Saint-Lambert,50.85219,4.43469,Entire home/apt,70,28,58,2021-08-20,0.83,1,0,1,
14617710,Appartment in European area,90735016,Harold,,Bruxelles,50.84619,4.38742,Entire home/apt,50,14,4,2021-12-22,0.07,1,167,2,
14667222,Appartement de charme au coeur de Bruxelles,23910451,Léo,,Ixelles,50.82541,4.3766,Entire home/apt,100,7,1,2021-08-01,0.09,1,29,1,
14677595,Nice house with garden in the south of Brussels,2838556,Emma,,Forest,50.80429,4.32,Entire home/apt,60,7,14,2019-07-23,0.21,1,0,0,
14722746,Clean Room in Evere-close to BRU AirPort-Zaventem,20005248,Badrinath,,Evere,50.8628,4.40932,Private room,20,1,41,2017-10-21,0.59,1,164,0,
14728270,Charming rooftop penthouse with a large terrace,91696943,Joanna,,Saint-Gilles,50.82466,4.34135,Entire home/apt,77,3,188,2022-06-06,2.70,1,226,42,
14735798,Cozy apartment in the center of IXELLES. A must-see!,3449982,Laetitia,,Ixelles,50.83128,4.36147,Entire home/apt,69,10,89,2022-05-15,1.33,4,282,6,
14769005,"Bright and comfortable apartment, smart location.",44649450,Loredana,,Woluwe-Saint-Pierre,50.83803,4.41804,Entire home/apt,55,3,88,2022-01-31,1.28,1,0,8,
14770390,Flagey's Bright Place,13849160,Max,,Ixelles,50.83203,4.37246,Entire home/apt,75,7,5,2022-05-08,2.31,1,287,5,
16024127,Cozy studio near Grand Place No1,42832143,Antoine,,Bruxelles,50.84451,4.35326,Private room,89,1,295,2022-06-12,4.39,19,335,35,
16024417,Cozy Studio Near Grand Place No. 2,42832143,Antoine,,Bruxelles,50.84521,4.35552,Private room,100,1,343,2022-06-09,5.10,19,351,43,
16024558,Cozy studio near Grand Place no3,42832143,Antoine,,Bruxelles,50.8462,4.35435,Private room,69,1,282,2020-03-04,4.18,19,0,0,
16035600,Amazing flat ♥ Trendy CHATELAIN ♥ VINTAGE design ☼,2866861,Juju,,Saint-Gilles,50.82527,4.3582,Entire home/apt,85,2,378,2022-06-08,5.71,4,296,48,
16059204,Cosy family apartment in EU quarter,10762485,Marilyn,,Etterbeek,50.83455,4.39038,Entire home/apt,85,3,10,2019-12-27,0.15,1,226,0,
16081613,White Historical Duplex on Avenue Molière,52597,Jean-Philippe,,Uccle,50.81455,4.35584,Entire home/apt,120,30,3,2018-05-31,0.05,1,11,0,
16111021,Beau Studio Luxueux- Ixelles/Louise,6535114,Gaetan,,Ixelles,50.81535,4.36931,Entire home/apt,57,91,45,2022-04-03,0.67,1,102,5,
16155185,Appartement de caractère proche du centre,105443089,Merve,,Bruxelles,50.84707,4.37157,Entire home/apt,90,3,3,2019-08-12,0.08,1,165,0,
16183626,Exquisite Stay in Brussels!,24649905,Guilhem,,Bruxelles,50.84293,4.35408,Entire home/apt,64,30,16,2022-04-14,0.25,3,238,4,
16186182,Joli appartement ds maison de maître avec chat,37018150,Mélanie,,Schaerbeek,50.86502,4.37107,Entire home/apt,40,15,2,2022-04-16,0.87,1,38,2,
16186192,Exquisite Stay in Brussels!!,24649905,Guilhem,,Bruxelles,50.84351,4.35454,Entire home/apt,67,60,8,2022-05-31,0.12,3,195,2,
16212090,Brussels Quiet Green Park + Balcony 12m.,25669916,Steve,,Woluwe-Saint-Lambert,50.85258,4.43129,Entire home/apt,67,90,107,2022-04-20,1.59,1,228,3,
